protocol,function,algorithm,run,best,n_fes,max_iter,seconds
equal_iterations,F29,LSHADE,0,11383.421723202931,8569,500,12.964087999993353
equal_iterations,F29,LSHADE,1,8527.952293018434,8569,500,13.018059099995298
equal_iterations,F29,LSHADE,2,12072.973285777844,8569,500,9.945370299989008
equal_iterations,F29,LSHADE,3,13698.521584007802,8569,500,13.113635999994585
equal_iterations,F29,LSHADE,4,10056.589558553158,8569,500,13.44863990000158
equal_iterations,F29,LSHADE,5,8910.50045473623,8569,500,9.984855899994727
equal_iterations,F29,LSHADE,6,23328.560945797166,8569,500,10.010985599990818
equal_iterations,F29,LSHADE,7,12620.437906426456,8569,500,12.73154579999391
equal_iterations,F29,LSHADE,8,7744.661297201979,8569,500,13.027822200005176
equal_iterations,F29,LSHADE,9,51555.43132663815,8569,500,10.036948000008124
equal_iterations,F29,PSO,0,260620550.1862973,15030,500,15.596831100003328
equal_iterations,F29,PSO,1,2239032554.3658295,15030,500,15.510926100003417
equal_iterations,F29,PSO,2,808752970.5856208,15030,500,15.551238899992313
equal_iterations,F29,PSO,3,1772180078.1123295,15030,500,15.559935500001302
equal_iterations,F29,PSO,4,375614393.74245226,15030,500,20.163148399995407
equal_iterations,F29,PSO,5,3416855523.2324758,15030,500,15.580679099992267
equal_iterations,F29,PSO,6,12802852554.698614,15030,500,15.844851699992432
equal_iterations,F29,PSO,7,2238109899.8599772,15030,500,15.620343100003083
equal_iterations,F29,PSO,8,115132776.62397107,15030,500,16.87840879999567
equal_iterations,F29,PSO,9,4454743275.593517,15030,500,20.655824299989035
equal_iterations,F29,GWO,0,295835174.1051298,15030,500,21.33923369999684
equal_iterations,F29,GWO,1,366900171.2251437,15030,500,17.96108120000281
equal_iterations,F29,GWO,2,54929280.65904896,15030,500,16.309101299993927
equal_iterations,F29,GWO,3,74828477.22010672,15030,500,16.27850909999688
equal_iterations,F29,GWO,4,115973202.16630854,15030,500,16.138234700003522
equal_iterations,F29,GWO,5,526485727.58279324,15030,500,21.030400100004044
equal_iterations,F29,GWO,6,54758326.53745045,15030,500,20.785982399989734
equal_iterations,F29,GWO,7,111776564.63094103,15030,500,21.29206300000078
equal_iterations,F29,GWO,8,249027068.3660756,15030,500,18.652484199992614
equal_iterations,F29,GWO,9,106868795.01047343,15030,500,20.99671419999504
